#seq_name	length	coverage	circular	repeat	mult	telomere	alt_group	graph_path
contig_316	1266780	45	N	N	1	none	*	-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,316,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,146,118,118,118,118,118,118,118,118,118
contig_320	20829	24	N	N	1	none	*	318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,320,722
contig_321	330828	7	N	N	1	left	*	321
contig_326	127387	45	N	N	1	none	*	324,325,326,-767,-328,-325
contig_327	253833	45	N	N	1	none	*	327,-753,-85,-199,-84
contig_329	57016	45	N	N	1	none	*	754,-330,329,-754
contig_331	245974	47	N	N	1	none	*	331,-517,518,-517,518
contig_333	349890	45	N	N	1	none	*	333,334
contig_335	257693	49	N	N	1	none	*	-334,335
contig_336	705717	7	N	N	1	left	*	-287,-16,336,-337
contig_343	783	44	N	N	1	none	*	343
contig_346	162066	55	N	N	1	none	*	686,686,687,686,686,687,686,687,686,686,687,686,686,687,686,686,687,686,686,687,686,346,-345
contig_347	67157	5	Y	N	1	none	*	347
contig_350	228592	46	N	N	1	none	*	350,666,668,670,-669,-666,667
contig_352	871328	46	N	N	1	none	*	352,631
contig_365	7545	4	N	N	1	none	*	361,362,365
contig_368	328554	47	N	N	1	none	*	631,368
contig_374	66613	48	N	N	1	none	*	-795,-644,-815,-643,-18,-12,17,-371,-371,374
contig_375	725281	46	N	N	1	none	*	-371,-371,375
contig_377	7297	17	N	N	1	none	*	377,-376
contig_388	93266	50	N	N	1	none	*	388,-389
contig_392	80635	50	N	N	1	none	*	28,-381,380,382,-391,392,782
contig_396	148105	41	N	N	1	none	*	395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,396,784
contig_397	60033	44	N	N	1	none	*	397,-512,511
contig_405	42811	49	N	N	1	right	*	405
contig_406	21667	43	N	N	1	none	*	406,407
contig_410	292964	44	N	N	1	none	*	-409,410
contig_412	293629	45	N	N	1	none	*	412,-582,-811
contig_413	281727	43	N	N	1	none	*	411,413,417
contig_414	282186	45	N	N	1	none	*	-777,411,414,812
contig_416	342001	45	N	N	1	none	*	590,416,417
contig_419	15087	43	N	N	1	none	*	-594,-778,419,-590
contig_422	294588	45	N	N	1	left	*	422,-421,423,-421,-780,-421,423
contig_424	99471	47	N	N	1	both	*	424
contig_434	43081	41	N	N	1	none	*	427,428,781,432,434,605
contig_435	38069	54	N	N	1	none	*	386,435,-672,-429,430
contig_436	45374	48	N	N	1	both	*	436
contig_440	7417	13	N	N	1	none	*	441,440
contig_444	110704	44	N	N	1	none	*	-784,444,658,660,658,660,657,658,660,658,660,658
contig_446	888456	46	N	N	1	none	*	445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,446
contig_447	9186	41	N	N	1	none	*	447
contig_453	104635	46	N	N	1	left	*	453
contig_458	54903	48	N	N	1	none	*	458,-533,-532,-455,456,-455,-454
contig_459	697000	45	N	N	1	none	*	515,-514,515,-514,459
contig_460	115093	11	N	N	1	left	*	460,461
contig_470	16339	0	N	N	1	both	*	470
contig_482	161221	46	N	N	1	none	*	-481,482
contig_485	17300	24	N	N	1	none	*	485
contig_486	516507	45	N	N	1	none	*	-660,-658,-660,-658,-660,-658,-660,-658,-660,-658,486
contig_487	10420	13	N	N	1	both	*	487
contig_489	81684	50	N	N	1	none	*	489
contig_491	20781	41	N	N	1	none	*	431,491,-431
contig_492	7696	0	N	N	1	both	*	492
contig_495	54498	39	N	N	1	none	*	494,496,494,496,494,496,494,496,494,496,494,496,494,496,493,495,-496,-494,-493,-496,-494,-493,-496,-494,-493,-496,-494,-493,-496,-494,-493,-496,-494,-496,-494
contig_497	780181	46	N	N	1	none	*	497,790
contig_498	51156	41	N	N	1	none	*	498,674,676,-645
contig_499	597684	46	N	N	1	none	*	-790,499,-539
contig_500	30333	45	N	N	1	none	*	790,500,-790
contig_513	713478	45	N	N	1	none	*	512,513,-765
contig_516	233885	47	N	N	1	none	*	516
contig_519	253901	9	N	N	1	left	*	519,520,522
contig_521	34759	12	N	N	1	none	*	-522,-520,521,619,-618
contig_523	5776	21	N	N	1	none	*	-522,523
contig_524	251765	10	N	N	1	none	*	524
contig_526	222923	44	N	N	1	none	*	526,528,799
contig_534	414103	46	N	N	1	none	*	-456,455,532,533,534
contig_540	323947	9	N	N	1	both	*	540
contig_541	44609	37	N	N	1	none	*	805,541,-805
contig_542	107143	43	N	N	1	none	*	-805,542,805
contig_543	55203	13	N	N	1	left	*	543,545
contig_546	65540	7	N	N	1	none	*	546
contig_547	339293	7	N	N	1	none	*	547,549,-548
contig_550	4592	0	N	N	1	both	*	550
contig_551	489587	7	N	N	1	none	*	551
contig_552	5582	31	N	N	1	none	*	552
contig_553	3623	0	N	N	1	both	*	553
contig_554	1854	2	N	N	1	both	*	554
contig_555	4920	70	N	N	1	both	*	555
contig_559	72896	49	N	N	1	none	*	-556,557,559,-557,556,558
contig_562	72855	63	N	N	1	none	*	562,-631
contig_564	14396	74	N	N	1	both	*	564
contig_569	94909	50	N	N	1	none	*	-280,760,-280,760,-280,760,569
contig_570	20166	61	N	N	1	both	*	570
contig_571	22632	49	N	N	1	none	*	571,-765,-764
contig_572	224537	9	N	N	1	none	*	572,574,-573
contig_575	7052	25	N	N	1	both	*	575
contig_576	71670	49	N	N	1	right	*	576
contig_577	181883	46	N	N	1	none	*	577
contig_580	112559	42	N	N	1	none	*	-811,580,-579,-810,-583,810
contig_584	476240	45	N	N	1	none	*	582,584,-586,588,-586,588,-586,588,-586,588,-586,587
contig_585	270629	47	N	N	1	none	*	-587,585,590
contig_591	103121	44	N	N	1	none	*	-590,591,812
contig_599	79581	44	N	N	1	none	*	812,599,-812
contig_600	25056	44	N	N	1	none	*	600
contig_601	406553	8	N	N	1	left	*	601,-604
contig_606	183628	48	N	N	1	right	*	606
contig_610	41947	44	N	N	1	none	*	610,605
contig_613	35914	32	N	N	1	none	*	-371,-371,-371,373,612,613,-539
contig_620	220219	47	N	N	1	none	*	784,620,-784
contig_622	152106	46	N	N	1	none	*	621,622,815,644
contig_623	349532	45	N	N	1	none	*	376,623,-394,773
contig_629	6733	77	N	N	1	both	*	629
contig_633	313676	45	N	N	1	none	*	699,-702,-699,633,-698,-698,-698
contig_637	328644	46	N	N	1	none	*	-814,637,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
contig_642	26929	46	N	N	1	none	*	798,-641,642
contig_649	45670	47	N	N	1	none	*	816,649,651
contig_650	30887	52	N	N	1	none	*	816,650,-817
contig_653	20267	42	N	N	1	none	*	651,653,816
contig_654	479043	46	N	N	1	none	*	654,655
contig_659	42891	47	N	N	1	none	*	659
contig_675	6837	41	N	N	1	none	*	675
contig_678	48931	50	N	N	1	none	*	677,678,-677
contig_680	164080	46	N	N	1	none	*	-677,680,-366,-362,364,611,-366,-362,363
contig_681	786572	46	N	N	1	none	*	-677,681,-758,261,-758,261,-758,756
contig_683	35517	42	N	N	1	none	*	682,683,-682
contig_684	48752	52	N	N	1	both	*	684
contig_685	25717	47	N	N	1	none	*	685
